species,habitat,species_sample,sample_size,STRUCTURE,BAPS,DAPC,Av_groups,Fst_vcftools,SNPs,loci,SNPs_per_locus,av_contig_length,total_bp,SNPs_per_bp,Av_UCE_gene_tree_length,D,theta,seg_sites,pairwise_diffs,nuc_div,seg_sites_per_bp,subtending_branch,stem_length,Sister_clade_richness,mtDNA.branch.length,Beak.Length_Culmen_1,Beak.Length_Nares,Beak.Width_1,Beak.Depth_1,Tarsus.Length_1,Wing.Length_1,Kipps.Distance_1,Secondary1_1,Hand.wing.Index,Tail.Length_1,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Mass,Range.Size,haplotype.F_ST,nucleotide.F_ST,Nei.G_ST,Hudson.G_ST,Hudson.H_ST,Hudson.K_ST,Dxy,e_statistic,e_slope,a_statistic,a_slope,Nei.G_ST.pop,nucleotide.F_ST.pop,Dxy.pop,heterozygosity,inbreeding,N_SITES,theta.bp
Campephilus_melanoleucos,floodplain,Campephilus_melanoleucos_LSUMNS26102,11,2,2,1,1.67,0.26529,5657,2013,2.810233,543.9130651,1094897,0.005166696,0.003351457,-1.701169351,2196.217341,8006,1290.112554,0.001287488,0.007450929,NA,NA,1,0.012305,45.6375,34.55,12.17142857,12.54285714,32.75,184,40.65384615,144.8153846,21.87692308,119.3928571,1,1,1,1,1,3,256,11099024.68,0.115689164,0.124112932,0.344491762,0.112222029,0.832834331,0.502703369,0.000701743,-0.032266,0.0110751,0.143714,0.00354788,0.223420437,0.240561234,0.000913326,0.135563055,0.184235455,5330.636364,0.0020
Campephilus_rubricollis,upland,Campephilus_rubricollis_AMNH3870,11,3,1,2,1.67,0.1481,6286,2002,3.13986,547.5064935,1096108,0.005734836,0.00420996,-1.840579029,2929.204192,10678,1621.744589,0.00168255,0.009741741,NA,NA,4,0.153775,46.34,35.2,10.72,11.7,35.00909091,179.0909091,31.94,146.16,17.92,123.3636364,1,1,1,1,1,3,210.7,6911322.08,0.105807764,0.111335998,0.353062773,0.102419001,0.8775715,0.521261747,0.000860225,-0.195764,0.0819819,-0.0343676,0.0774582,0.090413567,0.069764239,0.000910323,0.140376991,0.134076364,6010.727273,0.0027
Cantorchilus_leucotis,floodplain,Cantorchilus_leucotis_FMNH389261,11,2,2,2,2,0.2349,9635,2108,4.570683,589.721537,1243133,0.007750579,0.005764963,-1.543682345,3952.093827,14021,2498.594737,0.00216913,0.010662576,NA,NA,1.5,0.07832,18.83333333,12.44285714,3.533333333,3.773333333,22.02857143,62.06666667,7.5875,54.7875,12.175,48.13333333,1,2,1,1,1,3,19.4,8709608.57,0.174083139,0.172980989,0.396364841,0.166286211,0.900712589,0.560263681,0.001221364,-0.567823,0.239964,-0.310359,0.242887,0.13110829,0.133702862,0.001317501,0.141582839,0.26479,9067.7,0.0032
Celeus_flavus,floodplain,Celeus_flavus_KU675,11,1,1,1,1,0.045639,3507,2007,1.747384,563.9197808,1131787,0.00309864,0.002752645,-1.265167464,1429.642671,5072,998.5947368,0.00094733,0.004481409,NA,NA,2,0.002141,28.48181818,22.5,8.3,8.942857143,25.8,140.2272727,26.37,114.48,18.73,90.95454545,1,1,1,1,1,3,147.3,6163251.01,0.058985155,0.060143846,0.272999647,0.057899258,0.711365902,0.41930841,0.000570493,-0.0682439,0.0336172,-0.0390072,0.0402253,0.056322629,0.023304228,0.00058124,0.217301873,0.049212222,3242.555556,0.0013
Celeus_grammicus,upland,Celeus_grammicus_MPEG13886,11,2,1,1,1.67,0.13474,6690,1988,3.365191,573.0583501,1139240,0.005872336,0.004627848,-1.514721574,2828.253907,10310,1789.341991,0.00171323,0.009049893,NA,NA,1,0.0049,24.82941176,17.225,6.876923077,6.446153846,20.64705882,122.7941176,27.71875,95.8125,22.475,71.02941176,1,1,1,1,1,3,64.5,5521579.18,0.100624559,0.105813626,0.349367736,0.096988415,0.878711626,0.519375112,0.001021452,-0.115385,0.0556824,-0.0187498,0.064538,0.106541338,0.074463149,0.001179107,0.167672136,0.105184545,6466.636364,0.0025
Conirostrum_bicolor,island,Conirostrum_bicolor_9_LSU7282,15,1,1,2,1.33,0.098376,7991,2157,3.704682,737.7176634,1591257,0.005021816,0.003257715,-0.883582594,2334.178551,7423,1879.879121,0.0012413,0.004664866,NA,NA,1,0.00366,13.78571429,8.275,3.32,3.557142857,18.11428571,62.05714286,12.2,48.175,20.2,46.84285714,2,2,1,1,1,3,10.5,566641.85,0.071919788,0.073374269,0.322926205,0.070602617,0.836042731,0.506714742,0.000892549,-0.0582181,0.0443121,-0.00119938,0.0442609,0.107358794,0.054919601,0.000896398,0.195134409,0.143780278,6110.972222,0.0015
Conirostrum_margaritae,island,Conirostrum_margaritae_16_Goeldi15984,4,1,1,1,1,0.007834,1430,2078,0.688162,727.1308951,1510978,0.000946407,0.001440006,-0.472937216,1058.292011,2744,967.3571429,0.00067018,0.001816042,NA,NA,1,0.001231,13.125,7.975,3.575,3.675,16.25,59.75,12.175,47.575,20.425,40.875,1,2,2,1,1,3,9.7,77630.04,0.02484678,0.024725733,0.199842849,0.032177251,0.532398453,0.345438186,0.000543528,0.0775081,-0.00375565,0.10821,-0.00649683,0.081853516,-0.002340255,0.00054198,0.388523519,0.03734,1346.75,0.0007
Cranioleuca_vulpecula,island,Cranioleuca_vulpecula_25_INPA_A123,7,1,1,1,1,0.074088,1636,2145,0.762704,736.9067599,1580665,0.001035007,0.001801642,-0.808782519,1021.969593,3250,839.8461538,0.00057614,0.002056097,0.005021217,0.003219575,2,0.000268,17.2,10.94285714,3.4125,4.2125,19.9375,69.65,10.22857143,58.81428571,14.75714286,62.8,1,2,1,1,1,3,18.9,340457.78,0.053554246,0.053451565,0.231292139,0.054266614,0.588483146,0.359865788,0.000413046,-0.0195361,0.0222037,0.0498066,0.0203256,0.074570866,0.033366984,0.000420967,0.271633776,0.069024286,1567.714286,0.0006
Crypturellus_undulatus,floodplain,Crypturellus_undulatus_MPEG14258,11,4,2,3,2.33,0.37167,6513,2040,3.192647,566.7539216,1156178,0.005633216,0.004561507,-1.222370764,2418.337835,8318,1728.594771,0.00158963,0.007194394,NA,NA,NA,0.068399,34,12.425,6.02,5.76,47.95714286,172.5,34.95,137.8,20.26666667,56.64285714,1,1,1,2,3,2,564.4,8533511.59,0.209649094,0.231197837,0.41222471,0.200401557,0.881256133,0.577075652,0.001165937,-0.443542,0.20911,-0.30591,0.329886,0.238681871,0.24278346,0.00134546,0.145260791,0.310002222,6285.777778,0.0021
Crypturellus_variegatus,upland,Crypturellus_variegatus_INPA131,11,3,2,2,2,0.26527,11149,2070,5.38599,547.9487923,1134254,0.009829368,0.007586387,-1.151852546,4051.87567,14375,2939.936842,0.00279079,0.012673528,NA,NA,NA,0.155614,33.64444444,13.6875,5.2875,4.975,41.11111111,155.4444444,50.1,105.52,32.24,44.55555556,1,1,1,2,3,2,378,5436849.92,0.165705136,0.189163186,0.402339645,0.15800414,0.934235977,0.583979995,0.001593245,-0.39487,0.172354,-0.143627,0.188673,0.122911399,0.139724211,0.001793161,0.141755644,0.229658,10416.3,0.0036
Dendroplex_kienerii,island,Dendroplex_kienerii_26_LSU80430,7,1,1,1,1,0.082962,2905,2055,1.413625,726.2418491,1492427,0.001946494,0.003560658,-0.898983196,2084.81797,6630,1671.967033,0.00128451,0.004442428,0.008540308,0.00497965,1,0.002311,29.93333333,21.01428571,4.9125,6.375,20.625,99.425,17.9,81.01428571,18.07142857,86.66666667,1,1,1,1,1,3,45,237821.16,0.081017702,0.085959792,0.294543964,0.079169217,0.734158416,0.4534405,0.000700762,-0.0796196,0.0553402,0.0111024,0.0635786,0.082887696,0.042246196,0.000725052,0.265335149,0.104157143,2676.428571,0.0014
Elaenia_pelzelni,island,Elaenia_pelzelni_36_Goeldi22693,2,1,2,1,1.33,NA,1914,2103,0.910128,721.4736091,1517259,0.001261485,0.001381685,-0.390453259,1345.636364,2467,1295.666667,0.00149741,0.001625958,0.003063465,0.00168178,2,NA,13.875,8.425,5.15,4.4,21.925,88.275,13.55,74.775,15.3,74.55,1,1,1,3,1,3,27.3,311569.85,-0.021649057,-0.017035614,0.241765071,0.025185711,0.696084525,0.526643266,0.001351144,NA,NA,NA,NA,0.241765071,-0.017035614,0.001351144,0.545859539,-0.005795,1908,0.0009
Formicarius_analis,floodplain,Formicarius_analis_INPA1349,11,2,1,2,1.67,0.2652,11601,2088,5.556034,587.98659,1227716,0.009449254,0.004800255,-1.908780392,3984.51872,14525,2140.220779,0.00184413,0.013250621,0.013530718,0.008529081,1,0.088378,21.76153846,13.36896552,5.63,6.013333333,32.44,89.25666667,14.77333333,74.62941176,16.64,56.78,1,1,1,1,1,2,62.2,5715479.2,0.177350335,0.195038664,0.413385168,0.16966187,0.949903661,0.590884049,0.001241165,-0.26416,0.115207,0.0352782,0.129375,0.13921466,0.150399046,0.001376134,0.100772418,0.292622727,11122.90909,0.0032
Formicarius_colma,upland,Formicarius_colma_MPEG14939,11,2,2,2,2,0.51849,7051,2058,3.426142,586.1710398,1206340,0.005844953,0.004618859,-1.482545741,2754.461444,10041,1764.142857,0.001622455,0.008657592,0.016863502,0.011506552,3,0.053042,21.54285714,12.11,5.116666667,5.276923077,29.85384615,85.03846154,16.27142857,69.3,18.98571429,53.36923077,1,1,1,1,1,2,47,6982041.19,0.245657033,0.266496107,0.436551039,0.237987801,0.884220811,0.587926345,0.000882346,-0.903961,0.372801,-0.864582,0.639632,0.219551325,0.243874331,0.00119165,0.099098847,0.427319091,6585.454545,0.0023
Furnarius_minor,island,Furnarius_minor_44_Goeldi16304,7,1,2,1,1.33,0.12384,1792,2209,0.811227,708.7211408,1565565,0.001144635,0.001526601,-0.988387977,1312.492636,3713,1054.222222,0.00072441,0.002371668,0.004652652,0.003126051,1,0.006435,19.28,12.9125,3.344444444,3.844444444,24.76666667,73.72222222,9.925,64.0375,13.4375,50.2,3,1,1,1,1,2,25.8,319149.09,0.041171819,0.039902556,0.234300652,0.043995786,0.613970588,0.38553722,0.000576665,-0.0554002,0.0372266,-0.0701528,0.0493607,0.120077025,0.026456857,0.000594108,0.278439539,0.01269,1731.571429,0.0008
Glaucidium_brasilianum,floodplain,Glaucidium_brasilianum_LSUMNS75626,11,2,1,3,2,0.13117,2167,2127,1.018806,546.9026798,1163262,0.001862865,0.002201597,-1.775019567,1675.592616,5560,999.0333333,0.000980878,0.005855087,NA,NA,1,0.017741,14.92,10.025,7.088888889,10.57333333,18.04,94.12,16.8,77.31538462,17.88461538,63.44666667,3,2,1,1,1,3,63.3,14375175.98,0.038627407,0.037114048,0.232792932,0.037839874,0.62767475,0.367588306,0.000471996,-0.051284,0.0312351,-0.164844,0.103126,0.160388723,0.035057585,0.000740035,0.169891413,0.13427875,2064.25,0.0014
Glaucidium_hardyi,upland,Glaucidium_hardyi_LSUMNS40662,11,1,1,1,1,0.11724,3711,2146,1.729264,582.9627213,1251038,0.002966337,0.00243268,-0.566334991,1102.673921,3912,953.8315789,0.00096064,0.003127003,NA,NA,2,0.050608,14.65,8.925,6.433333333,8.925,18.925,89.5,17.95,71.6,20.075,48,1,1,1,1,1,3,58.3,4691899.43,0.051959657,0.052825108,0.239702342,0.050738482,0.625763987,0.365252738,0.000320121,-0.0406811,0.0278223,0.0748596,0.0269469,0.053075581,0.030527101,0.000324802,0.145251602,0.111524,3397.9,0.0009
Hylophylax_naevia,upland,Hylophylax_naevia_MPEG10842,11,4,2,3,3,0.54736,11906,2107,5.650688,580,1222060,0.009742566,0.01057422,-0.701811321,4970.413996,17096,4156.601307,0.00366142,0.013989493,0.010011768,-0.000562452,1,0.149532,16.00714286,9.204,4.746153846,3.761538462,20.21923077,58.1,8.146666667,50.07368421,14.12666667,39.77692308,1,1,1,1,1,3,14.2,5848723.89,0.426545084,0.53331331,0.563374628,0.408822333,0.958630528,0.742547313,0.002486226,-2.61404,1.06971,-1.09406,1.14102,0.293771653,0.407669156,0.002808059,0.092470382,0.624096667,10941.11111,0.0041
Hylophylax_punctulata,floodplain,Hylophylax_punctulata_FMNH457204,11,1,1,2,1.67,0.12051,7643,2107,3.6498,589.6687233,1242432,0.006304,0.00457305,-1.46354717,3227.745449,11102,2125.581699,0.00184047,0.0089357,0.011986995,0.007413945,2,0.041158,16.68,9.95,4.766666667,4.133333333,17.24444444,59.08888889,8.075,51.725,13.425,31.42222222,1,1,1,1,1,3,12.4,3128205.43,0.134198643,0.144900017,0.375942463,0.127772038,0.903763697,0.555604836,0.00119459,-0.237435,0.109329,-0.0603923,0.108484,0.097765865,0.079683536,0.001250748,0.162324953,0.152702222,7368.222222,0.0026
Knipolegus_orenocensis,island,Knipolegus_orenocensis_46_COP882,12,3,3,3,3,0.43452,5874,2149,2.733364,704.8548162,1514733,0.003877911,0.006468523,-0.957737773,3146.781649,11751,2404.753623,0.00170764,0.007757803,0.005845748,-0.000622775,1,0.003016,16.8,9.925,5.35,4.05,20.075,71.75,12.525,59.225,17.45,67.25,3,2,1,1,1,3,19,255299.56,0.222124199,0.247334927,0.42008761,0.214705528,0.885406922,0.575882645,0.000989343,-0.30894,0.136866,-0.251876,0.287408,0.272859221,0.304187606,0.001275632,0.158502807,0.292607273,5484.545455,0.0021
Leucippus_chlorocercus,island,Leucippus_chlorocercus_58_LSU7264,4,1,1,1,1,0.045538,2326,1927,1.207058,715.1966788,1378184,0.001687728,0.001917223,-0.729173143,1584.738292,4109,1374.821429,0.00103774,0.00298146,NA,NA,40,NA,19.55,14.825,2.375,2.05,5.875,56.125,34.05,22.075,60.675,35.25,3,1,1,2,2,1,4.6,173795.89,0.016313583,0.022412732,0.252320133,0.024885194,0.703916449,0.451353782,0.00086714,0.0236997,0.0262899,-0.0124199,0.045771,0.138717257,0.007471592,0.000903741,0.358026104,0.0191475,2218.25,0.0011
Mazaria_propinqua,island,Mazaria_propinqua_135_LSU43083,8,1,1,1,1,-0.031166,3094,2168,1.427122,739.8929889,1604088,0.001928822,0.002436148,-1.231947256,6116.852446,21701,4321.6,0.00341654,0.01352856,0.008477749,0.006041601,1,0.000354,17.3,11.5625,3.155555556,3.622222222,21.83333333,58.84444444,6.425,52.6625,10.8375,69.75,3,1,1,1,1,3,19.9,531677.41,0.017867975,0.012179731,0.296652125,0.019175359,0.850844278,0.485486078,0.001128614,0.0110709,0.00736059,-0.0427887,0.0149744,0.080553305,0.017534131,0.000764969,0.208282381,0.114385,2515.166667,0.0038
Megascops_choliba,floodplain,Megascops_choliba_AMNH4811,11,1,1,1,1,0.033351,3370,2109,1.597914,587.3091513,1238635,0.002720737,0.001576633,-1.639733,1214.695277,4428,731.5281385,0.000632095,0.003875234,NA,NA,1,0.009314,21.78181818,12.1,6.95625,11.71578947,30.02727273,162.7809524,33.62222222,124.5444444,21.03333333,91.25238095,4,2,1,1,1,3,132,13065137.78,0.046659806,0.048491105,0.259287972,0.04590797,0.692822967,0.397622234,0.00038191,-0.070156,0.0322783,-0.00726075,0.0356679,0.039671102,0.011899051,0.00038213,0.142322354,0.066282727,3219.909091,0.0010
Megascops_watsonii,upland,Megascops_watsonii_AMNH3868,11,1,1,1,1,0.093381,6389,2145,2.978555,588.6307692,1262613,0.005060141,0.002896046,-1.975461273,2709.198408,9876,1411.298701,0.00125041,0.007821874,NA,NA,1,0.026877,23.225,13.3,8.2,13.3,34.22,165.6,43,127.25,25.25,90.6,1,1,1,1,1,3,129,6312593.48,0.064071535,0.063966335,0.32569659,0.062128482,0.867070896,0.497401325,0.00072405,-0.00531898,0.00720815,0.0488251,0.00905446,0.085568842,0.041498553,0.000786698,0.141377304,0.054198182,6163,0.0021
Monasa_morphoeus,upland,Monasa_morphoeus_AMNH12750,11,3,2,4,3.33,0.28447,6331,1872,3.381944,571.8632479,1070528,0.005913904,0.003633646,-1.601467424,2187.308188,7760,1352.642105,0.00133749,0.007248759,NA,NA,NA,0.045167,36.98,25.94,9.116666667,11.23333333,19.21666667,125.5,27.56,98.44,21.92,114.3333333,1,1,1,1,1,3,87.9,5210334.01,0.188832463,0.206986978,0.404218486,0.181959991,0.888649812,0.568654129,0.00094198,-0.477433,0.204391,-0.0876598,0.216404,0.224650003,0.176118543,0.000976066,0.124619539,0.289808,5751.5,0.0020
Monasa_nigrifrons,floodplain,Monasa_nigrifrons_LSUMNS42834,11,3,1,2,2,0.16038,6873,2069,3.321895,583.4229096,1207102,0.005693802,0.004264978,-1.345113549,2443.655267,8908,1646.502165,0.001434087,0.007439305,NA,NA,NA,0.010229,37.5,28.15,9.5,12.125,21.2,127.75,21.425,106.325,16.75,118.75,1,1,1,1,1,3,80.7,7021917.73,0.127828601,0.133120823,0.3624919,0.123913175,0.866473149,0.524496214,0.000925617,-0.276819,0.123963,-0.136326,0.140085,0.086273449,0.081860765,0.000988759,0.159130767,0.140962727,6586.181818,0.0020
Myrmeciza_fortis,upland,Myrmeciza_fortis_INPA431,11,2,2,2,2,0.46484,6339,2103,3.014265,585.9472183,1232247,0.005144261,0.005058322,-1.090284412,2462.583446,8977,1811.445887,0.0016149,0.007285065,0.006725954,0.001667632,2,0.019702,23.175,13.58888889,5.411111111,6.566666667,34.07777778,81.52222222,8.96,74.4,10.7,62.93333333,1,1,1,1,1,3,45.9,1945728.92,0.293269865,0.320054097,0.46309893,0.283827626,0.884265901,0.60876299,0.001024246,0.00322135,0.00736514,0.629366,0.0967092,0.198672386,0.247035008,0.001327981,0.120747258,0.426474545,6140.090909,0.0020
Myrmeciza_hyperythra,floodplain,Myrmeciza_hyperythra_FMNH433423,11,1,1,1,1,0.058035,4381,2120,2.066509,571.0481132,1210622,0.003618801,0.003145197,-1.311638382,1721.366951,6275,1173.748918,0.00110611,0.005183286,0.009731957,0.00658676,4,0.005293,24.94,14.3875,5.277777778,6.222222222,29.24444444,76.83333333,4.6,73.25,6.075,56.15555556,1,1,1,1,1,3,41,1642348.58,0.079520539,0.078938903,0.311226391,0.077808003,0.792003808,0.463693354,0.000591446,-0.0743746,0.0484038,0.0216613,0.0594196,0.061942432,0.02833236,0.000617769,0.169096846,0.104174545,4230.818182,0.0014
